2021 2013-12-09 17:55:17 2013-12-09 18:00:27 +0000 0000049c 001 001f 0001 09 eCommunicationsObjMgr_ptg 64993 5716 1552 d:\sea752pd\siebsrvr\log\eCommunicationsObjMgr_ptg_64993.log 7.5.3.15 [16279] PTG
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Security Adapter Name                         : ADSI
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Dump Statistics                          : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		SISNAPI - Log Traffic                         : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		DB Multiplex - Max Number of Shared DB Connections : 40
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		DB Multiplex - Min Number of Shared DB Connections : 40
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		DB Multiplex - Min Number of Dedicated DB Connections : 40
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Timed Statistics                         : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Order Management - Enable Asset Based Ordering : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Trace EL Allocation                      : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Trace EL Events                          : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Trace EL SQL                             : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - EL Tracing User Name                     : sadmin
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Auto match quote on reconfigure : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Try to  Restore Quote witout Ilog : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Check if Complex Product is Self-containded : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Keep Alive Time of Idle Session : 3600
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Time Out of Connection : 20
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Number of Objects Cached in Memory : 100000
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Number of Catalogs Cached in Memory : 10
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Number of Factories Cached in Memory : 10
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Number of Reuse for each Worker : 10
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Number of Workers Cached in Memory : 50
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Use Remote Service     : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Remote Server Name     : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Collect and Use the snapshots of the Cfg Objects : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Product Configurator - Release Worker Memory at the end of session : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Application Access Directory                  : %ACCESS_DIR%
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Application Applet Title Font                 : Verdana-10-Bold
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Barcode Toolbar Enable Flag                   : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Application Caption Prefix                    : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Application Default Chart Font                : Verdana-10-Normal
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Component Name                    : None
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Corba DLL                         : sscfcorb.dll
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application CORBA Enabled Flag                : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Correspondence ODBC datasource    : Siebel Reports: Access
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Datasource                        : ServerDataSrc
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Document Integrator               : Microsoft Office
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Docking Repository Name           : Siebel Repository
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Encrypt Password                  : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		FS DB Repeat Activity Enable Flag             : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application JTC HELP URL                      : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Help File                         : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Export ODBC connection flag       : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application JSE Corba Connector Dll           : corbavgn.dll
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Local ODBC Connection             : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Main Repository Name              : Siebel Repository
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Major Application Group                       : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:18		Application Max Transaction Buffer Size       : 100000
